,0
0,Registration Atrium
1,Opening Theatre 1Toby Seay
2,Keynote: AI for sound: A future technology for sound archives Theatre 1Professor Mark Plumbley
3,Refreshments Atrium
4,Discography committee open meeting BenGLab 1Filip Šír
5,Technical committee open meeting Theatre 2Lars Gaustad
6,"Audiovisual archives - for inspiration, for creativity Theatre 1Richard Ranft • Giovanna Fossati • Judith Opoku-Boateng • Johan Oomen • Leenke Ripmeester"
7,Poster session 1 AtriumCristina Kühn • Johannes Kapeller • Pedro Félix • Miyuki Meyer • Susana Belchior
8,Assessing video standards for endangered languages archives Theatre 2Leah Pappas • Bradley McDonnell
9,Ethnic piano rolls BenGLab 1Darius Kucinskas
10,The role of audiovisual archives in music heritage sustainability: Conditions for accessibility and reuse Theatre 1Diane Thram
11,Lunch Atrium
12,IIIF for AV: The International Image Interoperability Framework is no longer just for images BenGLab 2Tom Crane
13,Media preservation and digitization principles and practices Theatre 2Mike Casey
14,Diversity task force open meeting BenGLab 1Judith Opoku-Boateng
15,"W1: The safeguarding of the audiovisual heritage: Ethics, principles and preservation strategy (IASA-TC 03) Theatre 1Dietrich Schüller"
16,"South African memory: After the Rivonia Trial, new steps, new challenges BenGLab 2Nkwenkwezi Languza • Vincent Fromont"
17,Systematic in-house digitization of legacy media archives: Case study of industrial digitization facilities Theatre 2Manuel Corn
18,From Digital to Analogue: the Challenges and Prospects of Data Capturing and Preservation in an African Archive BenGLab 2Nathaniel Kpogo Worlanyo
19,Preserving the legacy of Odɛɛfoɔ Owusu Amoayɛ II BenGLab 1George Gyesaw
20,The Netherlands Institute for Sound and Vision audio digitization system: A case study Theatre 2Tom Lorenz
21,Refreshments Atrium
22,IASA In video Theatre 1Michael Biel
23,General assembly Theatre 1Toby Seay
24,Welcoming reception Atrium
25,Registration Atrium
26,Organizing knowledge committee open meeting Theatre 2Johan Oomen
27,Modern high-quality transfer approaches to wire and magnetic belt formats Theatre 1Nicholas Bergh
28,The International Library of African Music (ILAM) and its relationship with a decolonial imaginary in present day South Africa BenGLab 1Lee Watkins
29,The Lucy Durán collection: A report into the technical challenges digitising a mixed format audio collection BenGLab 2Tom Ruane
30,AV as historical documents: Audiovisual materials about the Philippines under Marcos BenGLab 1Rosemarie Roque
31,Higher than 96KHz: A case for magnetic tape Theatre 1Toby Seay
32,Scotland’s Sounds: Fostering creativity in our archives BenGLab 2Alistair Bell
33,W2: RDA and audiovisual archives Theatre 2Nadia Lai
34,Digital transformation at audiovisual archives: becoming digital by design Theatre 1Jan Müller
35,"From a ‘Culture of Silence’ to a free press: What oral histories tell us about self-censorship, ethics, and journalism in Ghana BenGLab 1Ivy Fofie • Alice Daniel"
36,National aggregator for sound in the Czech Republic BenGLab 2Iva Horová
37,Refreshments / Registration Atrium
38,Archiving Austin City Limits: Applying software development methodologies to audiovisual archiving Theatre 1Amanda Moore
39,The return of Malawian intangible cultural heritage: Tales given form for the next generation BenGLab 2Chimwemwe Sumani
40,Research archives section open meeting BenGLab 1Aaron Bittel
41,Handle with care: Managing radio collections related to the second world war Theatre 2Florence Gillet • František Štambera • Carolyn Birdsall • Richard Ranft • Bas Agterberg • Friedrich Dethlefs
42,Poster session 2 AtriumAngela Maria de Cristofaro • Rosie Rowe • Pedro Félix • Susana Belchior • Ginevra Rapex
43,A study on the current utilization and development strategy of local audiovisual archives BenGLab 2Jiamin Li
44,Don’t let perfect be the enemy of the good: The balance of increased output and quality preservation Theatre 1Ross Garrett
45,Presenting the United States presidents BenGLab 2Laurie Austin • Sarah Cunningham
46,Tech obsession Theatre 1Stefano Cavaglieri
47,The Nuremberg recordings: Listening to the 20th century Theatre 2Emiliano Flores
48,The relation of music archiving and intangible cultural heritage in Serbia BenGLab 1Marija Dumnić Vilotijević
49,Lunch Atrium
50,Audiovisual archives inside science museums: A survey on management and conservation BenGLab 1Isabella Otto
51,Ghosts of the popular: Theoretical and historiographic perspectives from the Hidden Years Music Archive BenGLab 2Schalk Van der Merwe
52,Two years later: The future of small scale audiovisual archives in Asia Theatre 2Gisa Jähnichen • Chinthaka Prageeth Meddegoda • Ahmad Faudzi Musib • Thongbang Homsombat
53,W3: Handling and storage of audio and video carriers (IASA-TC 05) Theatre 1Dietrich Schüller
54,Digitizing a century of native voice and song at the Autry Museum BenGLab 1Liza Posas • Yuri Shimoda
55,Zdeněk Liška across institutions and materials BenGLab 2Jonáš Kucharský
56,Rescuing Malawi endangered 16mm film collection BenGLab 2Bright Joshua
57,The extraordinary fate of Charles Wolff's record collection BenGLab 1Thomas Henry
58,Refreshments Atrium
59,National archives section open meeting BenGLab 1Irfan Zuberi • Richard Ranft
60,Aviary: Improving searchability and usability of audiovisual collections Theatre 1Pamela Vizner
61,Time-based media: Innovating and maintaining can coexist with open source Theatre 2Casey Davis Kaufman • Karen Cariani • Allison Schein Holmes
62,Intellectual property right as part of preservation standards BenGLab 1Marjolein Steeman
63,"Long-term, migration-free preservation of audiovisual content Theatre 1Bendik Bryde"
64,"AI AI O[H]: Speech recognition, text analysis, and oral history Theatre 1Doug Boyd • Kevin Bradley"
65,An uncertain but hopeful future: Freeing out of commerce works BenGLab 1Melanie Brown
66,Retrospect and prospect of electronic records long term preservation endeavor in Taiwan Theatre 2Shin-Chung Shao
67,Training and education committee closed meeting BenGLab 2Will Prentice
68,Registration Atrium
69,Broadcast archives section open meeting BenGLab 1
70,Drawing the floor plans of your future BenGLab 2Aaron Bittel
71,Sangam music: Mobile application as an outreach tool of the National Cultural Audiovisual Archives of India Theatre 1Irfan Zuberi
72,Training and education committee open meeting Theatre 2Will Prentice
73,"Collect now, use later: Enabling future research Theatre 1Christina Linsboth • Gabriele Fröschl"
